Id,Title,UrlLink,Author,Keywords,CreatedAt,Hidden,PerformanceOnly
1,San Diegans Enjoy Selections From San Diego Opera's Season Opener,San Diegans Enjoy Selections From San Diego Opera's Season Opener,Fox 5,NULL,2017-10-20 00:00:00.000,0,0
2,San Diego Opera’s 'As One' follows the life of a transgender woman,http://sdgln.com/entertainment/2017/10/20/san-diego-opera-s-one-follows-life-transgender-woman,"San Diego Gay and Lesbian News ",As_One,2017-10-20 00:00:00.000,0,0
3,Master Carpenter Douglas Resenbeck Lives to Perform,https://duboiscountyherald.com/b/master-carpenter-lives-to-perform,The Herald,NULL,2017-10-20 00:00:00.000,0,0
4,Comically Victorian ‘Pirates of Penzance’ Come Ashore at San Diego Opera,https://timesofsandiego.com/arts/2017/10/18/comically-victorian-pirates-of-penzance-come-ashore-at-san-diego-opera/,Times of San Diego,The_Pirates_of_Penzance,2017-10-19 00:00:00.000,0,0
5,"Tarantara, tarantara! “Pirates of Penzance” Meet San Diego Opera In Season Opener. ",http://gilatwo.blogspot.com/2017/10/tarantara-tarantara-pirates-of-penzance.html,Carol Davis Theatre Reviews,The_Pirates_of_Penzance,2017-10-19 00:00:00.000,0,0
6,Review: THE PIRATES OF PENZANCE at San Diego Civic Center,https://www.broadwayworld.com/bwwopera/article/BWW-Review-THE-PIRATES-OF-PENZANCE-at-San-Diego-Civic-Center-20171018,Broadway World,The_Pirates_of_Penzance,2017-10-18 00:00:00.000,0,0
7,"Review: Plucky Pirates, Darling Damsels, and Silly Shenanigans ",http://www.stageandcinema.com/2017/10/16/pirates-of-penzance-sd-opera/,Stage and Cinema,The_Pirates_of_Penzance,2017-10-17 00:00:00.000,0,0
8,"Review: S.D. Opera's breezy, funny 'Pirates' marks a fresh start",http://www.sandiegouniontribune.com/entertainment/theater/sd-et-review-opera-20171015-story.html,San Diego Union Tribune,The_Pirates_Of_Penzance,2017-10-16 00:00:00.000,0,0
9,Review: Gilbert and Sullivan and ‘Pirates’ Finally Catch Up with San Diego Opera,http://www.sandiegostory.com/gilbert-and-sullivan-and-pirates-finally-catch-up-with-san-diego-opera/,San Diego Story,The_Pirates_of_Penzance,2017-10-16 00:00:00.000,0,0
10,"Review: G&S Captivates in San Diego Opera Opening ",http://www.laopus.com/2017/10/g-captivates-in-san-diego-opera-opening.html?m=1,LA Opus,The_Pirates_of_Penzance,2017-10-16 00:00:00.000,0,0
11,Review: Playful Pirating,http://www.concertonet.com/scripts/review.php?ID_review=12642,Concertonet,The_Pirates_of_Penzance,2017-10-15 00:00:00.000,0,0
12,Review: San Diego Opera turns to G&S with an exhilarating “The Pirates of Penzance”,http://www.operawest.com/san-diego-opera-turns-to-gs-with-an-exhilarating-the-pirates-of-penzance/,"OperaWest ",The_Pirates_of_Penzance,2017-10-15 00:00:00.000,0,0
13,‘Pirates of Penzance’ Sets Sail At San Diego Opera,http://www.kpbs.org/news/2017/oct/13/pirates-penzance-set-sail-san-diego-opera/,KPBS,The_Pirates_of_Penzance,2017-10-13 00:00:00.000,0,0
14,Sitting Down with Greer Grimsley & Luretta Bybee,http://www.operavivra.com/articles/interviews/sitting-greer-grimsley-luretta-bybee/,Opera Vivra,The_Pirates_Of_Penzance,2017-10-10 00:00:00.000,0,0
15,Director Seán Curran Brings His Own Catlike Tread into San Diego Opera’s Production of ‘The Pirates of Penzance’,http://www.sandiegostory.com/director-sean-curran-brings-his-own-catlike-tread-into-san-diego-operas-production-of-the-pirates-of-penzance/,"San Diego Story ",The_Pirates_Of_Penzance,2017-10-09 00:00:00.000,0,0
16,S.D. Opera charts new course with 'Pirates of Penzance',http://www.sandiegouniontribune.com/entertainment/sd-et-opera-pirates-20171008-story.html,The San Diego Union-Tribune,"The_Pirates_Of_Penzance ",2017-10-08 00:00:00.000,0,0
17,San Diego Opera's 'As One' Follows a Transgender Woman's Transition,http://www.sandiegomagazine.com/San-Diego-Magazine/October-2017/San-Diego-Operas-As-One-Follows-a-Transgender-Womans-Transition/,San Diego Magazine,As_One,2017-10-08 00:00:00.000,0,0
18,"Patrick Carfizzi of PIRATES OF PENZANCE at San Diego Opera ",https://www.broadwayworld.com/bwwopera/article/BWW-Interview-Patrick-Carfizzi-of-PIRATES-OF-PENZANCE-at-San-Diego-Civic-Theatre-20171006,Broadway World,The_Pirates_Of_Penzance,2017-10-06 00:00:00.000,0,0
19,"The Grimsleys and San Diego Opera: All in the Family ",http://www.laopus.com/2017/09/the-grimsleys-and-san-diego-opera-all.html,LA Opus,The_Pirates_Of_Penzance,2017-09-19 00:00:00.000,0,0
20,SAN DIEGO OPERA OPENS NEW SEASON,https://jpatrickford.me/2017/09/10/san-diego-opera-opens-new-season/,Observations by J. Patrick Ford,The_Pirates_Of_Penzance,2017-09-10 00:00:00.000,0,0
21,San Diego Opera to produce 'Frida & Diego' about famed Mexican painters,http://www.sandiegouniontribune.com/entertainment/classical-music/sd-me-frida-diego-20170803-story.html,San Diego Union Tribune,NULL,2017-08-03 00:00:00.000,0,0
22,SAN DIEGO OPERA STEPS FORWARD,https://jpatrickford.me/2017/07/17/san-diego-opera-steps-forward/,"Opera Scene by J. Patrick Ford ",NULL,2017-07-17 00:00:00.000,0,0
23,San Diego Opera to sell studio to help stabilize finances,http://www.sandiegouniontribune.com/entertainment/classical-music/sd-me-opera-budget-20170620-story.html,San Diego Union Tribune,NULL,2017-06-21 00:00:00.000,0,0
24,San Diego Opera lands $150K innovation grant,http://www.sandiegouniontribune.com/entertainment/theater/sd-as-me-opera-grant-20170602-story.html,San Diego Union Tribune,NULL,2017-06-03 00:00:00.000,0,0
25,Restoring Arts Funding to the Mayor's Budget,http://www.kusi.com/clip/13384013/budget-cuts-to-the-arts,KUSI,NULL,2017-06-03 00:00:00.000,0,0
